id,code,title
1,NLP,Nepal
2,AFG,Afghanistan
3,DZA,Algeria
4,American Samoa
5,Afghanistan,AFG
6,Aland Islands,ALA
7,Albania,ALB
8,Algeria,DZA
9,American Samoa,ASM
10,Andorra,AND
11,Angola,AGO
12,Anguilla,AIA
13,Antarctica,ATA
14,Antigua and Barbuda,ATG
15,Argentina,ARG
16,Armenia,ARM
17,Aruba,ABW
18,Australia,AUS
19,Austria,AUT
20,Azerbaijan,AZE
21,Bahamas,BHS
22,Bahrain,BHR
23,Bangladesh,BGD
24,Barbados,BRB
25,Belarus,BLR
26,Belgium,BEL
27,Belize,BLZ
28,Benin,BEN
29,Bermuda,BMU
30,Bhutan,BTN
31,Bolivia,BOL
32,Bosnia and Herzegovina,BIH
33,Botswana,BWA
34,Bouvet Island,BVT
35,Brazil,BRA
36,British Virgin Islands,VGB
37,British Indian Ocean Territory,IOT
38,Brunei Darussalam,BRN
39,Bulgaria,BGR
40,Burkina Faso', iso: 'BFA', countryId: 'BFA
41,Burundi,BDI
42,Cambodia,KHM
43,Cameroon,CMR
44,Canada,CAN
45,Cape Verde,CPV
46,Cayman Islands,CYM
47,Central African Republic,CAF
48,Chad,TCD
49,Chile,CHL
50,China,CHN
51,Hong Kong,ountryId: 'HKG
52,Macao,ountryId: 'MAC
53,Christmas Island,CXR
54,Cocos (Keeling) Islands,CCK
55,Colombia,COL
56,Comoros,COM
57,Congo (Brazzaville),COG
58,Congo,countryId: 'COD
59,Cook Islands,COK
60,Costa Rica,CRI
61,Côte d\'Ivoire,CIV
62,Croatia,HRV
63,Cuba,CUB
64,Cyprus,CYP
65,Czech Republic,CZE
66,Denmark,DNK
67,Djibouti,DJI
68,Dominica,DMA
69,Dominican Republic,DOM
70,Ecuador,ECU
71,Egypt,EGY
72,El Salvador,SLV
73,Equatorial Guinea,GNQ
74,Eritrea,ERI
75,Estonia,EST
76,Ethiopia,ETH
77,Falkland Islands (Malvinas),FLK
78,Faroe Islands,FRO
79,Fiji,FJI
80,Finland,FIN
81,France,FRA
82,French Guiana,GUF
83,French Polynesia,PYF
84,French Southern Territories,ATF
85,Gabon,GAB
86,Gambia,GMB
87,Georgia,GEO
88,Germany,DEU
89,Ghana,GHA
90,Gibraltar,GIB
91,Greece,GRC
92,Greenland,GRL
93,Grenada,GRD
